road_node,lat,lon,weight
286429559,22.2538923,114.1377303,1449.0338745117188
286429560,22.2534041,114.1372731,2561.4776000976562
286429566,22.2541986,114.1362088,919.4972534179688
286429572,22.2537891,114.1355976,874.6007080078125
286429574,22.2533522,114.1357847,1083.37548828125
286429577,22.2524732,114.1359388,3758.9970703125
286429587,22.2509167,114.1367648,1036.712890625
286633611,22.2487758,114.153041,1341.066162109375
286633612,22.2486806,114.1535121,758.271728515625
286639318,22.2642621,114.1265594,345.0304946899414
286898877,22.2865755,114.1497938,517.7417602539062
286902580,22.4094976,114.2235085,263.0919189453125
286902935,22.417393,114.2315696,1476.9945068359375
286902944,22.422321,114.2277067,736.2142944335938
287534841,22.4154213,113.9844111,690.4934997558594
287535463,22.4234124,113.9953852,259.52348136901855
287535480,22.4369524,114.017276,54.40221405029297
288165758,22.2868463,114.1534452,106.1125259399414
288167503,22.2838092,114.1547295,207.7828369140625
288170322,22.2841207,114.1570029,89.0960922241211
288170758,22.2821339,114.1510883,1322.5264282226562
288170877,22.2842874,114.1532839,495.6017456054688
288173188,22.2881826,114.149444,544.8507690429688
288173189,22.2888348,114.1496586,1263.8721008300781
288173242,22.2892249,114.148357,811.1265563964844
288175156,22.2879603,114.1521557,935.7358207702637
288176019,22.2875359,114.1538083,91.8756332397461
288177038,22.2886985,114.1389988,381.0787353515625
288177167,22.2878907,114.1350432,534.566162109375
288178553,22.2890905,114.1346972,1889.3587188720703
288361285,22.2793256,114.1777253,434.5276794433594
288361291,22.2786772,114.17311,230.5132751464844
288361296,22.2789035,114.1778719,438.61566162109375
288361310,22.2744123,114.1741344,240.452880859375
288372268,22.283627,114.145309,523.4356994628906
288372603,22.2803402,114.1506351,2304.7491149902344
288372736,22.2823244,114.1598882,61.66356658935547
288372937,22.2782062,114.1656288,177.33045959472656
288373551,22.2783547,114.1668504,87.30876922607422
288374748,22.2781342,113.9318244,207.58923768997192
288374792,22.278622,113.9323025,331.73061180114746
288374798,22.2809177,113.9395588,3314.4809341430664
288374924,22.2893266,113.9420333,48.15107345581055
288375081,22.2895618,113.9424897,98.21255493164062
288375096,22.288942,113.9443542,796.1616516113281
288375233,22.2921127,113.9390671,171.00875854492188
288375237,22.2936918,113.9432507,235.7614288330078
288375244,22.2934773,113.9408817,235.43609619140625
288375376,22.293996,113.9468345,755.3978576660156
288375430,22.2947627,113.9521525,590.8402709960938
288375734,22.2913735,113.9432442,1386.0597229003906
288375792,22.2925528,113.9510916,192.4048309326172
288375854,22.2931258,113.9505764,982.2161712646484
288700925,22.3379298,114.1766454,45.12434005737305
288701231,22.336883,114.1764031,111.22024536132812
288701286,22.3378813,114.1777928,121.4128189086914
288701447,22.3401599,114.1773126,177.68553161621094
288701450,22.3402434,114.174916,85.73772430419922
288701476,22.3386424,114.1782494,158.52913665771484
288702032,22.3368257,114.1779324,44.34961700439453
288702166,22.3352373,114.1775753,85.06449890136719
288702257,22.336563,114.1779679,160.41986083984375
288737680,22.2646756,114.1364162,866.6134948730469
288737703,22.2528721,114.1401389,603.66015625
288737712,22.2526786,114.1409589,1859.1459655761719
288991076,22.3072912,114.1622535,477.7114868164063
288991682,22.3111074,114.1660558,765.4669799804688
288991859,22.318719,114.1638166,641.6587524414062
288991961,22.3188051,114.1630542,909.72509765625
288995089,22.3211585,114.1576938,382.50482177734375
288995381,22.317492,114.1566572,341.3986511230469
288996505,22.3232124,114.1550476,708.0511245727539
288996662,22.3260954,114.1559847,268.9335327148437
288997665,22.3269464,114.1565829,206.80926513671875
288998755,22.3283207,114.1578429,486.28753662109375
289293755,22.3315659,114.1515004,668.1568756103516
289294087,22.3325274,114.1523163,577.1988525390625
289294146,22.3323494,114.1521898,256.5458374023437
289295418,22.3324436,114.1493051,810.2304534912109
289295423,22.3329503,114.1514227,954.814453125
289295620,22.3353581,114.1517114,320.6689453125
289295628,22.3335805,114.150783,355.3133544921875
289295667,22.3333319,114.1465739,335.7429962158203
289295671,22.3337482,114.1484531,218.42921447753903
289295767,22.3341475,114.1505349,297.4342346191406
289295842,22.3314766,114.1475525,137.89198303222656
289295843,22.3312273,114.1473714,125.23756408691406
289295904,22.3352956,114.1427851,1883.9964599609375
289295975,22.3337252,114.1424642,2584.051971435547
289295977,22.3359524,114.1429208,626.6927490234375
289295988,22.3359056,114.1431946,609.5518798828125
